EventID,Division,FinalRank,PDGAPoints,Name,PDGANumber,Rating,FinalScore,RoundOneScore,RoundTwoScore,RoundThreeScore,RoundFourScore,TotalScore,Payout,City,State,Country
47512,MPO,66,750,Kennan Johnson,77936,970,-1,63,60,62,,185,,,,
47512,MPO,66,750,Michael Arauza,87267,982,-1,64,59,62,,185,,,,
47512,MPO,66,750,William Schram,127314,971,-1,61,61,63,,185,,,,
47512,MPO,71,700,Jay Yeti Reading,15864,992,E,60,62,64,,186,,,,
47512,MPO,71,700,Justin Freeman,33878,974,E,66,59,61,,186,,,,
47512,MPO,71,700,Marshall Blanks,56886,995,E,62,62,62,,186,,,,
47512,MPO,71,700,AJ Carey,61770,1006,E,64,59,63,,186,,,,
47512,MPO,71,700,Elijah Brown,141178,976,E,63,57,66,,186,,,,
47512,MPO,76,650,Gavin Rathbun,60436,1026,1,64,60,63,,187,,,,
47512,MPO,76,650,Mark Chapalonis,70741,992,1,61,65,61,,187,,,,
47512,MPO,76,650,Ezra Aderhold,121715,1022,1,62,63,62,,187,,,,
47512,MPO,79,620,Patrick Brown,25713,1007,2,65,65,58,,188,,,,
47512,MPO,79,620,G.T. Hancock,49885,1008,2,67,62,59,,188,,,,
47512,MPO,79,620,Anthony AP Perkins,71308,987,2,62,62,64,,188,,,,
47512,MPO,82,590,James King,77736,963,3,65,62,62,,189,,,,
47512,MPO,83,580,Mason Marchbanks,79753,993,4,63,62,65,,190,,,,
47512,MPO,83,580,Fredy Meza,100497,995,4,62,67,61,,190,,,,
47512,MPO,83,580,Seth Talbott,114877,1008,4,59,64,67,,190,,,,
47512,MPO,86,550,Brandon Cawthorne,60069,1002,5,66,65,60,,191,,,,
47512,MPO,86,550,Caleb Wilkins,60469,1001,5,66,65,60,,191,,,,
47512,MPO,86,550,Nathaniel Weaver,118469,944,5,60,69,62,,191,,,,
47512,MPO,89,520,Kirk Trevena,45433,983,6,63,64,65,,192,,,,
47512,MPO,89,520,Jeffery Franklin,100464,979,6,72,62,58,,192,,,,
47512,MPO,89,520,Joey Temali,100818,976,6,62,66,64,,192,,,,
47512,MPO,92,490,Jordan Smith,77952,974,7,65,63,65,,193,,,,
47512,MPO,92,490,Alexander Lyon,80636,1001,7,58,67,68,,193,,,,
47512,MPO,94,470,Jared Stoll,68103,976,8,60,61,73,,194,,,,
47512,MPO,94,470,Tyler Swanson,70601,979,8,65,61,68,,194,,,,
47512,MPO,94,470,Erik Knoll,113775,969,8,69,64,61,,194,,,,
47512,MPO,94,470,Caleb Sanders,127230,960,8,64,65,65,,194,,,,
47512,MPO,98,430,Kyle Tiny New,57123,970,9,60,69,66,,195,,,,
47512,MPO,98,430,Marcus Stephens,58712,954,9,68,62,65,,195,,,,
47512,MPO,98,430,David Stepp,82360,985,9,64,64,67,,195,,,,
47512,MPO,98,430,Jeremy Hunter,89729,988,9,65,66,64,,195,,,,
47512,MPO,102,390,Trent Hadaway,58058,983,10,68,63,65,,196,,,,
47512,MPO,102,390,Gavin Ossenkop,60331,1002,10,65,66,65,,196,,,,
47512,MPO,102,390,Drew Boggs,75200,978,10,66,60,70,,196,,,,
47512,MPO,102,390,Noah Fiveash,99153,988,10,68,63,65,,196,,,,
47512,MPO,106,350,Aaron Gossage,35449,1014,11,66,67,64,,197,,,,
47512,MPO,106,350,Austin Spradlin,51740,963,11,75,60,62,,197,,,,
47512,MPO,106,350,James Kulinski,79476,958,11,70,65,62,,197,,,,
47512,MPO,106,350,Darrin Wilder,95841,969,11,65,64,68,,197,,,,
47512,MPO,106,350,Levi Hancock,103050,1000,11,64,63,70,,197,,,,
47512,MPO,111,300,Salem Mhanna,42671,958,12,66,64,68,,198,,,,
47512,MPO,112,290,Tommy Koons,29107,907,13,62,63,74,,199,,,,
47512,MPO,112,290,Matt Odenwelder,31710,977,13,67,68,64,,199,,,,
47512,MPO,112,290,Alex Berg,65488,964,13,70,63,66,,199,,,,
47512,MPO,112,290,Loren Lewis,68695,988,13,66,70,63,,199,,,,
47512,MPO,112,290,Isaiah Morava,114044,969,13,67,65,67,,199,,,,
47512,MPO,117,240,Evan Jolliff,107758,1005,15,71,63,67,,201,,,,
47512,MPO,118,230,Joe Bishop,49211,926,16,71,64,67,,202,,,,
47512,MPO,119,220,Daniel Ainsworth,101541,947,17,64,68,71,,203,,,,
47512,MPO,120,210,Mark Reynolds,45891,949,19,72,65,68,,205,,,,
47512,MPO,120,210,Devontay Brown,72036,929,19,69,63,73,,205,,,,
47512,MPO,122,190,Joey Duckett,39009,941,20,72,69,65,,206,,,,
47512,MPO,122,190,Joey Foran,98631,943,20,68,69,69,,206,,,,
47512,MPO,124,170,Chris Leifeste,20069,957,22,67,69,72,,208,,,,
47512,MPO,125,160,Mark McAlister,16672,961,23,65,69,75,,209,,,,
47512,MPO,125,160,Nicholas Favara,85562,933,23,72,67,70,,209,,,,
47512,MPO,125,160,Joshua Brunsmann,88177,947,23,68,71,70,,209,,,,
47512,MPO,125,160,Dylan Steele,105048,915,23,69,72,68,,209,,,,
47512,MPO,129,120,Anthony Williams,47714,952,24,71,67,72,,210,,,,
47512,MPO,129,120,Anthony Angel,83681,935,24,63,71,76,,210,,,,
47512,MPO,131,100,Jonathan Glass,143717,982,25,71,69,71,,211,,,,
47512,MPO,132,90,Carlton Reynolds,99695,968,26,69,72,71,,212,,,,
47512,MPO,133,80,Brady O'Brien,20766,942,29,70,72,73,,215,,,,
47512,MPO,134,70,Steven Sinclair,66168,919,33,77,71,71,,219,,,,
47512,MPO,135,60,Mitchel Sorrels,37275,918,34,74,68,78,,220,,,,
47512,MPO,136,0,Shea Callahan,36806,993,,62,61,999,,DNF,,,,
47512,MPO,136,0,Akeem Williams,37719,949,,70,74,999,,DNF,,,,
47512,MPO,136,0,Louie Garcia,40386,970,,69,59,999,,DNF,,,,
47512,MPO,136,0,Chase Steed,93333,980,,65,62,999,,DNF,,,,
47512,MPO,140,0,Kyle Griffin,67149,1005,,69,999,999,,DNF,,,,
47516,MPO,1,1410,Paul McBeth,27523,1055,-42,59,55,56,56,226,"$6,000",,,
47516,FPO,1,234,Hailey King,81351,961,-15,68,64,62,65,259,"$3,000",,,
47516,MPO,2,1400,Eagle Wynne McMahon,37817,1049,-36,55,56,59,62,232,"$3,000",,,
47516,MPO,2,1400,Richard Wysocki,38008,1055,-36,59,54,58,61,232,"$3,000",,,
47516,FPO,2,228,Catrina Allen,44184,965,-9,65,64,66,70,265,"$1,900",,,
47516,FPO,3,222,Heather Young,100965,951,-5,71,70,65,63,269,"$1,250",,,
47516,FPO,3,222,Macie Walker,104187,938,-5,68,70,65,66,269,"$1,250",,,
47516,MPO,4,1380,Calvin Heimburg,45971,1050,-35,55,56,59,63,233,"$2,000",,,
47516,MPO,4,1380,Chris Dickerson,62467,1045,-35,56,58,59,60,233,"$2,000",,,
47516,FPO,5,210,Kona Star Panis,27832,934,1,72,68,64,71,275,$920,,,
47516,MPO,6,1360,Benjamin Callaway,39015,1013,-30,56,55,63,64,238,"$1,700",,,
47516,FPO,6,204,Missy Gannon,85942,952,5,73,73,67,66,279,$775,,,
47516,MPO,7,1350,Drew Gibson,48346,1038,-29,58,59,60,62,239,"$1,550",,,
47516,FPO,7,198,Valerie Mandujano,62879,952,7,79,72,64,66,281,$680,,,
47516,FPO,8,192,Jennifer Allen,15354,940,11,69,74,73,69,285,$590,,,
47516,MPO,8,1340,Gavin Rathbun,60436,1024,-27,58,62,61,60,241,"$1,450",,,
47516,FPO,8,192,Emily Beach,61144,921,11,73,70,76,66,285,$590,,,
47516,MPO,9,1330,Paul Ulibarri,27171,1029,-26,59,63,57,63,242,"$1,250",,,
47516,MPO,9,1330,Zackeriath Johnson,50312,1013,-26,59,58,58,67,242,"$1,250",,,
47516,MPO,9,1330,Adam Hammes,57365,1036,-26,57,62,62,61,242,"$1,250",,,
47516,MPO,9,1330,Andrew Presnell,63765,1028,-26,56,65,62,59,242,"$1,250",,,
47516,FPO,10,180,Maria Oliva,63257,924,12,76,66,68,76,286,$480,,,
47516,FPO,10,180,Sarah Gilpin,87338,933,12,76,72,69,69,286,$480,,,
47516,FPO,12,168,Ohn Scoggins,48976,957,13,75,72,69,71,287,$410,,,
47516,FPO,12,168,Erika Stinchcomb,71262,924,13,73,74,65,75,287,$410,,,
47516,MPO,13,1290,Ezra Robinson,50671,1022,-22,60,60,65,61,246,"$1,100",,,
47516,MPO,14,1280,James Conrad,17295,1033,-21,62,65,59,61,247,$990,,,
47516,FPO,14,156,Lisa Fajkus,32654,945,17,77,75,67,72,291,$370,,,
47516,MPO,14,1280,Colten Montgomery,35876,1019,-21,59,61,64,63,247,$990,,,
47516,MPO,14,1280,Kevin Jones,41760,1034,-21,61,56,65,65,247,$990,,,
47516,MPO,14,1280,Ty Love,89959,1004,-21,62,65,58,62,247,$990,,,
47516,FPO,15,150,Kat Mertsch,99455,911,25,70,76,73,80,299,$340,,,
47516,FPO,16,144,Sarah Hokom,34563,966,,72,71,73,999,DNF,$310,,,
47516,FPO,17,138,Vanessa Van Dyken,62325,934,15,75,72,75,,222,,,,
47516,FPO,17,138,Julie Eagle,78135,904,15,83,73,66,,222,,,,
47516,MPO,18,1240,Casey White,81739,1019,-20,62,63,60,63,248,$890,,,
47516,MPO,18,1240,Nolan Ramser,90461,998,-20,61,63,68,56,248,$890,,,
47516,FPO,19,126,Paige Shue,33833,934,18,73,76,76,,225,,,,
47516,MPO,20,1220,Miles Seaborn,29264,1015,-19,64,62,60,63,249,$835,,,
47516,MPO,20,1220,Tim Barham,53332,1020,-19,62,60,62,65,249,$835,,,
47516,FPO,20,120,Shannon Prendergast,65961,899,19,78,74,74,,226,,,,
47516,FPO,20,120,Deann Carey,66842,913,19,77,79,70,,226,,,,
47516,MPO,22,1200,Garrett Gurthie,13864,1032,-18,62,58,66,64,250,$775,,,
47516,MPO,22,1200,Anthony Barela,44382,1031,-18,59,59,59,73,250,$775,,,
47516,FPO,22,108,Ellen Widboom,58276,937,20,73,79,75,,227,,,,
