EventID,Division,FinalRank,PDGAPoints,Name,PDGANumber,Rating,FinalScore,RoundOneScore,RoundTwoScore,RoundThreeScore,RoundFourScore,TotalScore,Payout,City,State,Country
47516,FPO,35,30,Anna Pinter,106489,835,51,90,92,76,,258,,,,
47516,MPO,85,570,Justin Farrell,112306,975,-1,70,69,63,,202,,,,
47516,MPO,111,310,Matt Vassil,112603,962,10,71,73,69,,213,,,,
47516,FPO,32,48,Alyssa Pierson,122118,836,43,94,83,73,,250,,,,
47516,FPO,26,84,Stacie Rawnsley,122208,907,28,85,82,68,,235,,,,
47516,MPO,128,140,William Schram,127314,977,19,69,78,75,,222,,,,
47516,MPO,122,200,Dylan Brogren,128145,943,16,79,71,69,,219,,,,
47516,MPO,128,140,Truyn Mosher,128154,955,19,74,68,80,,222,,,,
47516,MPO,28,1140,Brodie Smith,128378,1004,-16,60,60,64,68,252,$675,,,
47516,FPO,28,72,Raven Klein,138272,867,37,86,79,79,,244,,,,
47516,FPO,26,84,Leah Tsinajinnie,139109,862,28,84,75,76,,235,,,,
47520,FPO,,,Elaine King,3090,924,,,,,,,,Durham,NC,United States
47520,MPO,,,Nikko Locastro,11534,1033,,,,,,,,Saint Louis,MO,United States
47520,MPO,,,Garrett Gurthie,13864,1031,,,,,,,,Hawthorne,FL,United States
47520,MPO,,,James Conrad,17295,1032,,,,,,,,Blacksburg,VA,United States
47520,MPO,,,Matthew Orum,18330,1038,,,,,,,,Creola,AL,United States
47520,MPO,,,Kevin Gleason,19195,996,,,,,,,,Salisbury,MD,United States
47520,MPO,,,Michael Johansen,20300,1017,,,,,,,,Denver,NC,United States
47520,FPO,,,Michelle Frazer,24356,927,,,,,,,,Morrisville,PA,United States
47520,MPO,,,Chandler Fry,25541,1024,,,,,,,,Olympia,WA,United States
47520,MPO,,,A.J. Risley,25890,987,,,,,,,,San Marcos,CA,United States
47520,MPO,,,Matt Dollar,26045,1002,,,,,,,,Newnan,GA,United States
47520,MPO,,,Paul Ulibarri,27171,1029,,,,,,,,Show Low,AZ,United States
47520,FPO,,,Kona Star Panis,27832,934,,,,,,,,Rancho Cucamonga,CA,United States
47520,MPO,,,Alan Wagner,28550,1009,,,,,,,,Montrose,IA,United States
47520,MPO,,,Konrad Pawlosky,29571,979,,,,,,,,Alexandria,VA,United States
47520,MPO,,,Bradley Williams,31644,1024,,,,,,,,Austin,TX,United States
47520,MPO,,,Dylan Horst,32599,996,,,,,,,,West Chester,PA,United States
47520,FPO,,,Rebecca Cox,32917,927,,,,,,,,Cincinnati,OH,United States
47520,FPO,,,Becky Harris,33754,906,,,,,,,,Magnolia,NJ,United States
47520,MPO,,,Vincent Sutlic,34863,968,,,,,,,,Newark,DE,United States
47520,FPO,,,Lori Merriman,35616,890,,,,,,,,Sewickley,PA,United States
47520,MPO,,,Colten Montgomery,35876,1020,,,,,,,,Berthoud,CO,United States
47520,MPO,,,Richard Wysocki,38008,1056,,,,,,,,Campobello,SC,United States
47520,MPO,,,Zach Melton,38631,1008,,,,,,,,Kingsport,TN,United States
47520,MPO,,,Benjamin Callaway,39015,1025,,,,,,,,Davenport,IA,United States
47520,FPO,,,Sara Sinclair,41012,905,,,,,,,,Mount Juliet,TN,United States
47520,MPO,,,Jason Tiligadas,42135,997,,,,,,,,Elmer,NJ,United States
47520,MPO,,,Charles Behrhorst,42202,1002,,,,,,,,Williamsburg,VA,United States
