name,pdga_number,rating,current_rank,current_points,mean_final_points,mean_final_rank,p_top28_standings,p_top32,p_no1_seed
John Ryan III,46920,988.0,276,9.66,9.7,292.6,0.0,0.0,0.0
Bradley Baumgardner,253857,993.0,277,9.5,9.5,295.1,0.0,0.0,0.0
Oskari Krintilä,245642,996.0,278,9.5,9.5,295.1,0.0,0.0,0.0
Teo Huer,228600,974.0,279,9.5,9.5,295.1,0.0,0.0,0.0
Niilo Hyry,216148,1002.0,280,9.5,9.5,295.0,0.0,0.0,0.0
Henric Hagman,59769,1006.0,281,9.4,9.4,297.6,0.0,0.0,0.0
Reese Petersen,213243,1003.0,282,9.33,9.3,298.9,0.0,0.0,0.0
Nolan Ramser,90461,1004.0,283,9.0,9.0,302.1,0.0,0.0,0.0
Egert Hütt,130300,983.0,284,9.0,9.0,302.1,0.0,0.0,0.0
Niko Rättyä,52488,969.0,285,9.0,9.0,302.2,0.0,0.0,0.0
Henry Schlabach,188651,995.0,286,9.0,9.0,302.1,0.0,0.0,0.0
Jon Lynn,99462,991.0,287,8.67,8.7,306.1,0.0,0.0,0.0
Tuomas Pääkkönen,165222,987.0,288,8.67,8.7,306.0,0.0,0.0,0.0
Riku Gröhn,256251,988.0,289,8.67,8.7,306.0,0.0,0.0,0.0
Sias Elmore,57425,1005.0,290,8.44,13.0,277.0,0.0,0.0,0.0
Justin Bougher,24712,996.0,291,8.44,8.4,308.3,0.0,0.0,0.0
Martin Cronacher,229763,985.0,292,8.25,8.2,310.0,0.0,0.0,0.0
Chad Sherbert,61977,1008.0,293,8.0,8.0,315.7,0.0,0.0,0.0
Nick Doan,179847,1004.0,294,8.0,8.0,315.6,0.0,0.0,0.0
Ian Fredrickson,77821,1004.0,295,8.0,8.0,315.5,0.0,0.0,0.0
Guy Melms,146420,979.0,296,8.0,8.0,315.1,0.0,0.0,0.0
Samuel Aldrich,22055,990.0,297,8.0,8.0,315.0,0.0,0.0,0.0
Markus Saarepuu,129933,991.0,298,8.0,8.0,314.9,0.0,0.0,0.0
Espen Normann Paulsen,95645,974.0,299,8.0,8.0,314.9,0.0,0.0,0.0
Anthony Bodanza,210763,997.0,300,7.67,7.7,320.3,0.0,0.0,0.0
Eelis Immonen,278808,973.0,301,7.5,7.5,322.3,0.0,0.0,0.0
Rasmus Tuominen,104299,1000.0,302,7.5,7.5,322.3,0.0,0.0,0.0
Aapo Halmeenmäki,111228,996.0,303,7.5,7.5,322.3,0.0,0.0,0.0
Joshua Patin,56037,1008.0,304,7.33,7.3,324.8,0.0,0.0,0.0
Rienk Kan,89184,993.0,305,7.2,7.2,326.3,0.0,0.0,0.0
Randon Latta,51685,1001.0,306,7.0,9.8,305.6,0.0,0.0,0.0
Corbin Milchesky,153445,987.0,307,7.0,7.0,329.4,0.0,0.0,0.0
Renārs Strazdiņš,218832,968.0,308,7.0,7.0,329.4,0.0,0.0,0.0
Matias Mäntysaari,178318,994.0,309,7.0,7.0,329.4,0.0,0.0,0.0
Jake Lauber,44782,990.0,310,7.0,7.0,329.4,0.0,0.0,0.0
Whit Stephenson,241573,1001.0,311,6.67,6.7,335.2,0.0,0.0,0.0
Jimmy Martinez,75178,997.0,312,6.67,6.7,335.2,0.0,0.0,0.0
David Hurley,195983,994.0,313,6.67,6.7,335.2,0.0,0.0,0.0
Michael Arauza,87267,989.0,314,6.67,6.7,335.1,0.0,0.0,0.0
Nolan Johnson,140561,987.0,315,6.67,6.7,335.1,0.0,0.0,0.0
Christian Dietrich,27984,1000.0,316,6.67,6.7,335.1,0.0,0.0,0.0
Landen Carver,153211,986.0,317,6.33,6.3,340.1,0.0,0.0,0.0
Charles Peters,107518,996.0,318,6.33,6.3,340.1,0.0,0.0,0.0
Emil Karlsson,190064,992.0,319,6.33,6.3,340.0,0.0,0.0,0.0
